Ngay,TieuDe,NoiDung,Tag
2026-03-10,Thông báo tuyển sinh đại học hệ chính quy năm 2026,"Căn cứ Quy chế tuyển sinh đại học hệ chính quy của Bộ Giáo dục và Đào tạo, Trường Đại học Công nghệ Thông tin và Truyền thông (ICTU) thông báo tuyển sinh đại học hệ chính quy năm 2026 như sau:

1. Chỉ tiêu tuyển sinh: 2.500 sinh viên
2. Phương thức xét tuyển:
   - Xét tuyển dựa vào kết quả thi THPTQG 2026
   - Xét tuyển học bạ THPT
   - Xét tuyển thẳng theo quy định

Mọi thông tin chi tiết xin liên hệ Phòng Đào tạo, số điện thoại: 0208.3855.118",Tuyển sinh
2026-03-08,Lịch thi kết thúc học phần học kỳ 2 năm học 2025-2026,"Phòng Đào tạo thông báo lịch thi kết thúc học phần học kỳ 2 năm học 2025-2026 cho sinh viên toàn trường.

Thời gian thi: Từ 15/04/2026 đến 30/04/2026
Hình thức thi: Thi trực tiếp tại trường

Sinh viên xem chi tiết lịch thi trên cổng thông tin đào tạo của trường tại địa chỉ: https://qldt.ictu.edu.vn",Học vụ
2026-03-05,Thông báo nghỉ lễ Giỗ Tổ Hùng Vương năm 2026,"Nhà trường thông báo lịch nghỉ lễ Giỗ Tổ Hùng Vương (10/3 Âm lịch) năm 2026:

- Ngày nghỉ: 07/04/2026 (Thứ Ba)
- Làm bù: Thứ Bảy ngày 11/04/2026

Đề nghị toàn thể cán bộ, giảng viên, sinh viên thực hiện đúng theo thông báo này.",Lịch nghỉ
2026-02-28,Thông báo học bổng khuyến khích học tập học kỳ 1 năm học 2025-2026,"Phòng Công tác sinh viên thông báo danh sách sinh viên nhận học bổng khuyến khích học tập học kỳ 1 năm học 2025-2026.

Tổng số suất học bổng: 450 suất
Mức học bổng: Từ 1.500.000đ đến 3.000.000đ/suất

Sinh viên trong danh sách vui lòng đến Phòng Công tác sinh viên để hoàn thiện thủ tục nhận học bổng trước ngày 15/03/2026.",Học bổng
2026-02-20,Khai giảng khóa học kỹ năng mềm cho sinh viên khóa 2023,"Trung tâm Hỗ trợ sinh viên và Quan hệ doanh nghiệp thông báo khai giảng khóa học kỹ năng mềm cho sinh viên khóa 2023.

Nội dung chương trình:
- Kỹ năng giao tiếp và thuyết trình
- Kỹ năng làm việc nhóm
- Kỹ năng quản lý thời gian
- Kỹ năng giải quyết vấn đề

Thời gian: 20/03/2026 - 25/04/2026
Địa điểm: Hội trường A1, Cơ sở chính

Đăng ký tham gia tại: https://sv.ictu.edu.vn",Sự kiện
2026-02-15,Thông báo nộp đơn xét tốt nghiệp đợt 1 năm 2026,"Sinh viên đủ điều kiện tốt nghiệp đợt 1 năm 2026 nộp đơn xét tốt nghiệp tại Phòng Đào tạo.

Thời gian nộp đơn: 01/03/2026 - 20/03/2026
Hồ sơ bao gồm:
1. Đơn xét tốt nghiệp (theo mẫu)
2. Bảng điểm toàn khóa (photo công chứng)
3. Giấy xác nhận hoàn thành học phí

Lưu ý: Sinh viên có nợ môn không được xét tốt nghiệp đợt này.",Học vụ
2026-01-20,Thông báo lịch nghỉ Tết Nguyên Đán Bính Ngọ 2026,"Nhà trường thông báo lịch nghỉ Tết Nguyên Đán Bính Ngọ 2026:

Thời gian nghỉ: Từ ngày 25/01/2026 đến hết ngày 02/02/2026
Ngày đi làm trở lại: 03/02/2026 (Thứ Ba)

Chúc toàn thể cán bộ, viên chức, giảng viên và sinh viên đón Tết vui vẻ, an toàn, hạnh phúc!",Lịch nghỉ
2026-01-10,Thông báo đăng ký học phần học kỳ 2 năm học 2025-2026,"Phòng Đào tạo thông báo lịch đăng ký học phần học kỳ 2 năm học 2025-2026:

- Sinh viên năm 4: 12/01/2026
- Sinh viên năm 3: 13/01/2026
- Sinh viên năm 2: 14/01/2026
- Sinh viên năm 1: 15/01/2026

Sinh viên đăng ký học phần qua cổng thông tin đào tạo: https://qldt.ictu.edu.vn

Lưu ý: Sinh viên không đăng ký học phần đúng hạn sẽ không được tham gia học kỳ.",Học vụ
2025-12-20,Kết quả cuộc thi Lập trình sinh viên ICTU 2025,"Ban Tổ chức cuộc thi Lập trình sinh viên ICTU 2025 xin thông báo kết quả chính thức.

GIẢI NHẤT: Đội ICTU_Dev - Khoa Công nghệ Thông tin
GIẢI NHÌ: Đội CodeMaster - Khoa Kỹ thuật máy tính
GIẢI BA: Đội TechPro - Khoa Hệ thống thông tin

Ban tổ chức xin chúc mừng các đội đoạt giải và cảm ơn tất cả các đội đã tham gia cuộc thi.",Sự kiện
2025-12-05,Lịch thi kết thúc học phần học kỳ 1 năm học 2025-2026,"Phòng Đào tạo thông báo lịch thi kết thúc học phần học kỳ 1 năm học 2025-2026.

Thời gian thi: Từ 05/01/2026 đến 20/01/2026
Địa điểm: Các phòng thi theo sự phân công của Phòng Đào tạo

Sinh viên cần mang theo thẻ sinh viên khi vào phòng thi.
Chi tiết lịch thi xem tại cổng thông tin đào tạo.",Học vụ
